tempat,lokasi,jalan,kecamatan,kota,provinsi,jam buka,harga,latitude,longitude
Citere Camping Ground (Tms Production),"Jl. Warnasari, Pangalengan, Bandung, Jawa Barat",Jl. Warnasari,Pangalengan,Bandung,Jawa Barat,24 jam,Rp100.000,-7.19442,107.5448
Puncak Guha Bungbulang,"Jl. Sinarjaya, Bungbulang, Kabupaten Garut, Jawa Barat ",Jl. Sinarjaya,Bungbulang,Garut,Jawa Barat,24 jam,Tiket masuk: Rp 5.000,-7.536107416,107.4973729
Karacak Valley,"Jl. Karacak Valley Margawati, Sukanegla, Kec. Garut Kota, Kabupaten Garut, Jawa Barat ",Jl. Karacak,Garut Kota,Garut,Jawa Barat,24 jam,Rp 15.000/orang,-7.269138927,107.9514195
Papandayan Camping Ground,"Jl. Kawah Papandayan, Sirnajaya, Cisurupan, Kabupaten Garut, Jawa Barat  ",Jl. Kawah Papandayan,Cisurupan,Garut,Jawa Barat,08.30 - 17.00 WIB ,Rp 250.000/malam  ,-7.302151761,107.7583159
Pondok Saladah,"Jl. Kawah Papandayan, Sirnajaya, Cisurupan, Kabupaten Garut, Jawa Barat ",Jl. Kawah Papandayan,Cisurupan,Garut,Jawa Barat,07.00 - 18.00 WIB,Rp 35.000/orang,-7.315313801,107.7231316
Cilopang Adventure Camp,"Jl. Rancabango, Kec. Tarogong Kaler, Kabupaten Garut, Jawa Barat ",Jl. Rancabango,Tarogong Kaler,Garut,Jawa Barat,24 jam,Rp 15.000/orang ,-7.183197377,107.8696967
Camping Ground  Situ Cibeureum,"Jl. Sarimukti, Pasirwangi, Garut, Jawa Barat ",Jl. Sarimukti,Pasirwangi,Garut,Jawa Barat,24 jam,Rp 30.000/orang ,-7.161227341,107.8077897
Hutan Mati Gunung Papandayan,"Jl. Karamat Wangi, Cisurupan, Garut, Jawa Barat ",Jl. Karamat Wangi,Cisurupan,Garut,Jawa Barat,24 jam,Rp 35.000/orang,-7.320060917,107.7255017
Dano Cilopang Garut,"Jl. Rancabango, Tarogong Kaler, Garut, Jawa Barat ",Jl. Rancabango,Tarogong Kaler,Garut,Jawa Barat,24 jam,Rp 15.000 /orang,-7.18326593,107.8704627
Buffalo Hill,"Jl. Cigangsa Situsari, Situsari, Cisurupan, Kabupaten Garut, Jawa Barat ",Jl. Cigangsa Situsari,Cisurupan,Garut,Jawa Barat,24 jam,Rp 40.000 /orang,-7.2579581,107.7480416
Campgrounds Kiara Payung,"Jl. Kiarapayung, Kec. Sukasari, Kabupaten Sumedang, Jawa Barat",Jl. Kiarapayung,Sukasari,Sumedang,Jawa Barat,24 jam,Rp 100.000/orang,-6.896806983,107.7642252
Nangorak Camp,"Jl. Margamekar, Kec. Sumedang Sel, Kabupaten Sumedang, Jawa Barat",Jl. Margamekar,Sumedang Sel,Sumedang,Jawa Barat,24 jam,Rp 15.000/orang,-6.912188467,107.9155276
